complaint_id,category,complaint_text,area,date_reported,priority,status
221,Street Light,"No streetlight coverage on Kattur 3rd Street, unsafe for women at night.",Kattur,2025-08-13,Low,In Progress
222,Drainage,Drainage cleaning has not been done in Bharathi Nagar 2nd Street for months.,Bharathi Nagar,2025-06-16,Low,Resolved
223,Water Supply,New water connection request in Golden Rock is pending for over a month.,Golden Rock,2025-09-09,Low,In Progress
224,Electricity,Low voltage supply in Melapudur is damaging household appliances.,Melapudur,2026-01-03,High,Pending
225,Garbage,The garbage truck has skipped our street (Ariyamangalam Cross Street) for three days in a row.,Ariyamangalam,2025-12-13,Low,Resolved
226,Water Supply,"Irregular water supply timing in Thiruverumbur, water comes only for 10 minutes.",Thiruverumbur,2025-06-14,Medium,In Progress
227,Electricity,"Electricity meter in Woraiyur 3rd Street is malfunctioning, incorrect readings.",Woraiyur,2025-06-04,Low,In Progress
228,Road Damage,Uneven road surface on Vayalur Road Colony Road makes it difficult for vehicles to pass.,Vayalur Road,2026-03-08,Medium,In Progress
229,Electricity,Repeated tripping of power supply in Ponmalai disrupts daily work.,Ponmalai,2026-04-21,Medium,Resolved
230,Garbage,Plastic waste is piling up near the Woraiyur Colony Road community bin.,Woraiyur,2025-03-15,High,Resolved
231,Street Light,Street light near Kattur Lake Road has not been working for 10 days.,Kattur,2026-05-15,Low,Pending
232,Electricity,Transformer near Puthur Main Road is making loud noise and sparking.,Puthur,2025-09-27,Medium,In Progress
233,Drainage,Sewage water has entered houses in Ariyamangalam Cross Street after the rain.,Ariyamangalam,2025-05-30,Medium,Pending
234,Garbage,Household waste is being dumped on the roadside in Gandhi Nagar instead of the bin.,Gandhi Nagar,2026-03-12,Low,Pending
235,Drainage,Stagnant drainage water in Ariyamangalam has been standing for over a week.,Ariyamangalam,2025-12-07,Low,Pending
236,Street Light,Newly installed street light in Ariyamangalam Main Road is not switching on.,Ariyamangalam,2025-04-13,Medium,In Progress
237,Water Supply,"Irregular water supply timing in Woraiyur, water comes only for 10 minutes.",Woraiyur,2026-04-01,Low,In Progress
238,Drainage,"Drainage cover is missing on Ariyamangalam Colony Road, risk of accidents.",Ariyamangalam,2025-05-05,Low,Pending
239,Water Supply,"Water supply valve in Thiruverumbur is broken, entire street has no water.",Thiruverumbur,2026-05-15,Low,In Progress
240,Electricity,"Electricity meter in Cantonment Lake Road is malfunctioning, incorrect readings.",Cantonment,2025-12-25,Medium,Pending
241,Garbage,"Garbage has not been collected in Bharathi Nagar Main Road for over a week, causing bad smell.",Bharathi Nagar,2025-03-27,High,In Progress
242,Electricity,Electric pole near Thillai Nagar is leaning dangerously and needs urgent repair.,Thillai Nagar,2026-02-28,High,Pending
243,Drainage,Sewage water has entered houses in Golden Rock Colony Road after the rain.,Golden Rock,2025-12-02,Low,Pending
244,Street Light,Street light near Woraiyur bus stop flickers constantly at night.,Woraiyur,2025-11-21,Medium,In Progress
245,Road Damage,Large pothole on Ariyamangalam Colony Road is causing accidents for two-wheelers.,Ariyamangalam,2025-02-03,Medium,Pending
246,Garbage,Plastic waste is piling up near the Ariyamangalam Colony Road community bin.,Ariyamangalam,2026-02-10,Low,Resolved
247,Water Supply,"Water supply valve in Srirangam is broken, entire street has no water.",Srirangam,2025-09-03,High,Pending
248,Electricity,Electric pole near Gandhi Nagar is leaning dangerously and needs urgent repair.,Gandhi Nagar,2026-01-17,Medium,Resolved
249,Electricity,Power has not been restored in Thillai Nagar since yesterday's outage.,Thillai Nagar,2025-12-22,Medium,Pending
250,Garbage,Public dustbin at Anna Nagar junction is broken and waste is scattered on the road.,Anna Nagar,2025-08-18,High,Pending
251,Street Light,Entire stretch of Palpannai 2nd Street is dark at night due to non-functional lights.,Palpannai,2025-12-23,Low,Pending
252,Street Light,Street light near Melapudur bus stop flickers constantly at night.,Melapudur,2025-06-29,High,Resolved
253,Road Damage,Road near Crawford junction has completely eroded after recent rains.,Crawford,2025-03-26,Medium,Resolved
254,Street Light,Street light near Golden Rock Market Street has not been working for 10 days.,Golden Rock,2025-10-30,Low,Pending
255,Garbage,Household waste is being dumped on the roadside in Melapudur instead of the bin.,Melapudur,2025-09-06,Medium,In Progress
256,Street Light,Newly installed street light in Kattur 3rd Street is not switching on.,Kattur,2026-02-11,Low,Resolved
257,Street Light,"Street light pole in Gandhi Nagar is damaged and sparking, safety concern.",Gandhi Nagar,2026-06-02,Medium,In Progress
258,Street Light,Broken street light glass in Ponmalai Main Road is scattered on the footpath.,Ponmalai,2025-04-21,Medium,Pending
259,Road Damage,"Speed breaker on Vayalur Road 2nd Street is broken and unmarked, risky at night.",Vayalur Road,2026-01-25,Low,Resolved
260,Water Supply,Water tanker has not arrived in Bharathi Nagar despite booking three days ago.,Bharathi Nagar,2025-04-03,Medium,Pending
261,Water Supply,No water supply since the pipeline repair work started in Edamalaipatti Pudur Cross Street.,Edamalaipatti Pudur,2026-04-27,Medium,In Progress
262,Electricity,Low voltage supply in Ponmalai is damaging household appliances.,Ponmalai,2025-11-19,Medium,Resolved
263,Drainage,"Drainage cover is missing on Anna Nagar Lake Road, risk of accidents.",Anna Nagar,2026-01-16,High,Pending
264,Road Damage,Road near Golden Rock junction has completely eroded after recent rains.,Golden Rock,2026-06-25,High,In Progress
265,Water Supply,"Water pressure is extremely low in Vayalur Road, unable to fill overhead tank.",Vayalur Road,2026-04-16,High,Pending
266,Garbage,Construction debris dumped illegally on Melapudur Bypass Road is blocking the footpath.,Melapudur,2025-09-25,Low,Resolved
267,Street Light,Street light near Chinthamani park has been off since last month.,Chinthamani,2025-05-18,High,In Progress
268,Road Damage,Uneven road surface on Edamalaipatti Pudur Cross Street makes it difficult for vehicles to pass.,Edamalaipatti Pudur,2025-01-18,High,Pending
269,Drainage,Broken underground drainage pipe in Vayalur Road is leaking onto the street.,Vayalur Road,2025-07-24,High,Pending
270,Road Damage,Road near Ponmalai junction has completely eroded after recent rains.,Ponmalai,2025-03-29,Low,Resolved
271,Electricity,"Electricity meter in Gandhi Nagar Market Street is malfunctioning, incorrect readings.",Gandhi Nagar,2025-06-18,High,In Progress
272,Drainage,Blocked drainage near Anna Nagar is causing mosquito breeding and bad odour.,Anna Nagar,2025-06-11,High,Pending
273,Drainage,Choked stormwater drain in Cantonment Lake Road floods during light rain.,Cantonment,2025-12-26,Medium,Pending
274,Electricity,Overhead electric line is sagging dangerously low on Kattur Market Street.,Kattur,2025-04-15,Low,Resolved
275,Water Supply,Contaminated/muddy water is coming from the tap in Srirangam Main Road.,Srirangam,2025-11-13,Medium,Pending
276,Electricity,Electric pole near Palpannai is leaning dangerously and needs urgent repair.,Palpannai,2025-12-13,High,Resolved
277,Street Light,Street light near Cantonment Market Street has not been working for 10 days.,Cantonment,2025-06-30,Low,In Progress
278,Road Damage,Road near Gandhi Nagar junction has completely eroded after recent rains.,Gandhi Nagar,2025-09-22,Low,Resolved
279,Drainage,Choked stormwater drain in Vayalur Road Bypass Road floods during light rain.,Vayalur Road,2025-02-23,High,Resolved
280,Water Supply,Pipeline leakage near Palpannai 2nd Street is wasting a large amount of water daily.,Palpannai,2025-10-22,Medium,Resolved
281,Electricity,Exposed electrical wires near Golden Rock 2nd Street are a serious safety hazard.,Golden Rock,2025-02-01,Medium,In Progress
282,Garbage,Overflowing garbage bin near Gandhi Nagar Colony Road is attracting stray dogs and flies.,Gandhi Nagar,2025-09-08,Low,Pending
283,Road Damage,Waterlogged potholes on Kattur 3rd Street are damaging vehicle tyres.,Kattur,2026-04-14,Low,Pending
284,Road Damage,"Speed breaker on Melapudur Cross Street is broken and unmarked, risky at night.",Melapudur,2025-11-14,High,In Progress
285,Water Supply,New water connection request in Anna Nagar is pending for over a month.,Anna Nagar,2026-04-15,High,Pending
286,Electricity,Exposed electrical wires near Palpannai Bypass Road are a serious safety hazard.,Palpannai,2026-02-25,Medium,In Progress
287,Garbage,Construction debris dumped illegally on Melapudur Cross Street is blocking the footpath.,Melapudur,2025-03-17,High,Pending
288,Garbage,"Garbage has not been collected in Ariyamangalam Colony Road for over a week, causing bad smell.",Ariyamangalam,2025-03-23,Low,Pending
289,Street Light,Street light near Palpannai park has been off since last month.,Palpannai,2025-01-13,Low,Resolved
290,Road Damage,Road near K.K. Nagar junction has completely eroded after recent rains.,K.K. Nagar,2025-07-11,Medium,In Progress
291,Water Supply,Salty/foul smelling water is being supplied in K.K. Nagar Cross Street.,K.K. Nagar,2025-10-10,Medium,In Progress
292,Electricity,Street junction box in Melapudur is open with live wires exposed.,Melapudur,2025-12-11,Medium,In Progress
293,Drainage,Drainage cleaning has not been done in Palpannai Main Road for months.,Palpannai,2026-04-06,High,Resolved
294,Road Damage,"Road repair work in Vayalur Road was left incomplete, causing traffic issues.",Vayalur Road,2025-04-08,Low,Pending
295,Road Damage,Deep crack across the road in K.K. Nagar is widening every day.,K.K. Nagar,2025-10-11,High,Pending
296,Electricity,"Electricity meter in Anna Nagar 2nd Street is malfunctioning, incorrect readings.",Anna Nagar,2026-03-20,High,In Progress
297,Road Damage,"Road repair work in Chinthamani was left incomplete, causing traffic issues.",Chinthamani,2025-06-13,Medium,Resolved
298,Drainage,Stagnant drainage water in Vayalur Road has been standing for over a week.,Vayalur Road,2025-10-18,High,Resolved
299,Garbage,The garbage truck has skipped our street (Thillai Nagar Lake Road) for three days in a row.,Thillai Nagar,2025-04-11,Low,Resolved
300,Street Light,"No streetlight coverage on Cantonment 2nd Street, unsafe for women at night.",Cantonment,2026-05-16,Low,Resolved
301,Water Supply,Contaminated/muddy water is coming from the tap in Palpannai Colony Road.,Palpannai,2025-06-28,Low,Resolved
302,Water Supply,Pipeline leakage near Melapudur Market Street is wasting a large amount of water daily.,Melapudur,2026-01-16,Low,Resolved
303,Drainage,Stagnant drainage water in K.K. Nagar has been standing for over a week.,K.K. Nagar,2025-02-09,Medium,In Progress
304,Road Damage,Large pothole on Srirangam 2nd Street is causing accidents for two-wheelers.,Srirangam,2026-03-28,Medium,Pending
305,Drainage,Broken underground drainage pipe in Kattur is leaking onto the street.,Kattur,2026-01-08,Medium,In Progress
306,Road Damage,"Speed breaker on Srirangam 3rd Street is broken and unmarked, risky at night.",Srirangam,2025-11-01,Low,In Progress
307,Water Supply,Contaminated/muddy water is coming from the tap in Golden Rock 2nd Street.,Golden Rock,2025-03-15,Low,Pending
308,Electricity,Transformer near Thiruverumbur Main Road is making loud noise and sparking.,Thiruverumbur,2025-01-23,Low,Resolved
309,Water Supply,Salty/foul smelling water is being supplied in Crawford Market Street.,Crawford,2025-12-05,Medium,Resolved
310,Water Supply,"Water supply valve in Crawford is broken, entire street has no water.",Crawford,2026-01-22,Medium,In Progress
311,Drainage,Sewage water has entered houses in Puthur Cross Street after the rain.,Puthur,2026-04-26,Medium,Resolved
312,Street Light,"No streetlight coverage on Thillai Nagar Lake Road, unsafe for women at night.",Thillai Nagar,2026-01-15,Low,Resolved
313,Garbage,"Dead animal lying near the garbage dump in Kattur Cross Street, needs urgent removal.",Kattur,2026-04-12,Medium,Resolved
314,Drainage,"Drainage cover is missing on Puthur Lake Road, risk of accidents.",Puthur,2025-02-08,Low,In Progress
315,Drainage,Open drain near Chinthamani school is a safety hazard for children.,Chinthamani,2025-03-15,Medium,Resolved
316,Drainage,Sewage water has entered houses in Anna Nagar 3rd Street after the rain.,Anna Nagar,2026-03-25,Medium,Resolved
317,Garbage,Plastic waste is piling up near the Puthur Lake Road community bin.,Puthur,2026-03-29,High,Pending
318,Garbage,Household waste is being dumped on the roadside in Woraiyur instead of the bin.,Woraiyur,2025-04-15,Low,In Progress
319,Garbage,Construction debris dumped illegally on Thillai Nagar Cross Street is blocking the footpath.,Thillai Nagar,2026-05-13,Low,Resolved
320,Street Light,"Street light pole in Thiruverumbur is damaged and sparking, safety concern.",Thiruverumbur,2025-06-16,Medium,Resolved
321,Drainage,Choked stormwater drain in Kattur Lake Road floods during light rain.,Kattur,2025-03-06,Low,In Progress
322,Street Light,Street light near Woraiyur 3rd Street has not been working for 10 days.,Woraiyur,2025-05-01,High,In Progress
323,Street Light,Street light timer in Edamalaipatti Pudur is faulty; lights stay on during the day.,Edamalaipatti Pudur,2025-07-24,Medium,In Progress
324,Water Supply,New water connection request in Bharathi Nagar is pending for over a month.,Bharathi Nagar,2026-05-25,High,Pending
325,Street Light,Street light near Vayalur Road 2nd Street has not been working for 10 days.,Vayalur Road,2025-08-25,Low,Resolved
326,Water Supply,Water tanker has not arrived in Crawford despite booking three days ago.,Crawford,2025-11-06,Low,Resolved
327,Drainage,Blocked drainage near Crawford is causing mosquito breeding and bad odour.,Crawford,2025-03-03,High,Resolved
328,Road Damage,Newly laid road in Chinthamani is already cracking within a few months.,Chinthamani,2026-02-23,High,In Progress
329,Road Damage,Newly laid road in Palpannai is already cracking within a few months.,Palpannai,2025-04-16,Low,Pending
330,Road Damage,Missing manhole cover on Edamalaipatti Pudur Colony Road is extremely dangerous for commuters.,Edamalaipatti Pudur,2025-02-17,Low,Resolved
331,Electricity,Street junction box in Anna Nagar is open with live wires exposed.,Anna Nagar,2025-05-04,Medium,Pending
332,Road Damage,Broken footpath tiles on Melapudur Colony Road are a tripping hazard for pedestrians.,Melapudur,2026-06-11,High,Pending
333,Water Supply,No water supply since the pipeline repair work started in Cantonment Colony Road.,Cantonment,2026-05-11,Medium,In Progress
334,Electricity,Low voltage supply in Golden Rock is damaging household appliances.,Golden Rock,2026-06-10,Low,Resolved
335,Drainage,Drainage water is overflowing onto the road in Ponmalai 3rd Street.,Ponmalai,2025-02-14,Low,Pending
336,Drainage,"Drainage cover is missing on Srirangam Main Road, risk of accidents.",Srirangam,2025-12-11,High,Pending
337,Street Light,"No streetlight coverage on Ariyamangalam Market Street, unsafe for women at night.",Ariyamangalam,2025-09-09,Medium,Resolved
338,Road Damage,Uneven road surface on Melapudur 3rd Street makes it difficult for vehicles to pass.,Melapudur,2026-02-03,High,Resolved
339,Street Light,Broken street light glass in Ariyamangalam 2nd Street is scattered on the footpath.,Ariyamangalam,2025-04-10,Low,In Progress
340,Water Supply,Pipeline leakage near Thillai Nagar 3rd Street is wasting a large amount of water daily.,Thillai Nagar,2025-05-02,High,In Progress
341,Garbage,Public dustbin at Ariyamangalam junction is broken and waste is scattered on the road.,Ariyamangalam,2025-01-08,Low,Resolved
342,Road Damage,"Road repair work in Palpannai was left incomplete, causing traffic issues.",Palpannai,2025-01-28,High,In Progress
343,Drainage,Open drain near Srirangam school is a safety hazard for children.,Srirangam,2026-01-12,Low,In Progress
344,Water Supply,"Irregular water supply timing in Chinthamani, water comes only for 10 minutes.",Chinthamani,2026-04-08,High,Pending
345,Street Light,Street light near Ponmalai Cross Street has not been working for 10 days.,Ponmalai,2025-12-21,Medium,Resolved
346,Drainage,Sewage water has entered houses in Kattur 2nd Street after the rain.,Kattur,2025-03-19,Low,Resolved
347,Street Light,"Street light pole in Vayalur Road is damaged and sparking, safety concern.",Vayalur Road,2026-02-25,High,Resolved
348,Road Damage,Large pothole on Kattur 2nd Street is causing accidents for two-wheelers.,Kattur,2026-03-27,Medium,Resolved
349,Electricity,Power has not been restored in Gandhi Nagar since yesterday's outage.,Gandhi Nagar,2025-03-31,Medium,Resolved
350,Road Damage,Road near K.K. Nagar junction has completely eroded after recent rains.,K.K. Nagar,2026-01-29,Medium,In Progress
351,Street Light,Street light timer in Chinthamani is faulty; lights stay on during the day.,Chinthamani,2025-05-01,High,In Progress
352,Road Damage,Road near Gandhi Nagar junction has completely eroded after recent rains.,Gandhi Nagar,2025-04-22,High,Pending
353,Drainage,Foul smell from the drainage line near Woraiyur market is unbearable.,Woraiyur,2026-05-18,Low,Pending
354,Garbage,The garbage truck has skipped our street (Golden Rock Bypass Road) for three days in a row.,Golden Rock,2025-11-24,High,Pending
355,Street Light,Newly installed street light in Anna Nagar Cross Street is not switching on.,Anna Nagar,2026-04-22,Medium,Pending
356,Street Light,Street light near Bharathi Nagar park has been off since last month.,Bharathi Nagar,2025-02-16,Low,Pending
357,Drainage,Choked stormwater drain in Crawford Colony Road floods during light rain.,Crawford,2025-01-17,Medium,Pending
358,Drainage,Blocked drainage near Chinthamani is causing mosquito breeding and bad odour.,Chinthamani,2025-12-24,Medium,Resolved
359,Electricity,Transformer near Woraiyur 3rd Street is making loud noise and sparking.,Woraiyur,2025-05-10,Low,In Progress
360,Road Damage,"Speed breaker on Puthur 3rd Street is broken and unmarked, risky at night.",Puthur,2026-02-19,High,Pending
361,Road Damage,"Road repair work in Melapudur was left incomplete, causing traffic issues.",Melapudur,2026-01-25,Low,Pending
362,Garbage,Public dustbin at Edamalaipatti Pudur junction is broken and waste is scattered on the road.,Edamalaipatti Pudur,2025-03-28,Medium,Resolved
363,Garbage,No garbage collection has happened in Crawford since last Monday.,Crawford,2026-06-14,Medium,Pending
364,Street Light,Entire stretch of Woraiyur Main Road is dark at night due to non-functional lights.,Woraiyur,2026-03-28,Medium,In Progress
365,Garbage,No garbage collection has happened in Anna Nagar since last Monday.,Anna Nagar,2025-08-16,Low,In Progress
366,Garbage,Household waste is being dumped on the roadside in Golden Rock instead of the bin.,Golden Rock,2025-08-04,High,In Progress
367,Garbage,Construction debris dumped illegally on Woraiyur Market Street is blocking the footpath.,Woraiyur,2026-05-22,Medium,Pending
368,Electricity,Street junction box in K.K. Nagar is open with live wires exposed.,K.K. Nagar,2025-06-27,Low,Pending
369,Road Damage,Waterlogged potholes on Ponmalai Cross Street are damaging vehicle tyres.,Ponmalai,2026-02-23,High,In Progress
370,Drainage,Stagnant drainage water in Thillai Nagar has been standing for over a week.,Thillai Nagar,2025-04-19,Low,In Progress
371,Electricity,Exposed electrical wires near Srirangam Cross Street are a serious safety hazard.,Srirangam,2025-08-22,High,Resolved
372,Water Supply,Water tanker has not arrived in Palpannai despite booking three days ago.,Palpannai,2026-02-02,Medium,In Progress
373,Water Supply,New water connection request in Edamalaipatti Pudur is pending for over a month.,Edamalaipatti Pudur,2025-02-03,Low,In Progress
374,Street Light,"Street light pole in Chinthamani is damaged and sparking, safety concern.",Chinthamani,2026-02-28,Medium,In Progress
375,Road Damage,Uneven road surface on Edamalaipatti Pudur Bypass Road makes it difficult for vehicles to pass.,Edamalaipatti Pudur,2026-06-20,High,Resolved
376,Electricity,Transformer near Srirangam Main Road is making loud noise and sparking.,Srirangam,2025-03-05,Low,Pending
377,Road Damage,"Speed breaker on K.K. Nagar Market Street is broken and unmarked, risky at night.",K.K. Nagar,2025-11-21,Medium,Pending
378,Garbage,Household waste is being dumped on the roadside in K.K. Nagar instead of the bin.,K.K. Nagar,2026-01-28,High,Pending
379,Water Supply,"Irregular water supply timing in Crawford, water comes only for 10 minutes.",Crawford,2025-05-30,Low,Resolved
380,Water Supply,Pipeline leakage near Thiruverumbur Cross Street is wasting a large amount of water daily.,Thiruverumbur,2026-04-25,Low,Pending
381,Garbage,Household waste is being dumped on the roadside in Thillai Nagar instead of the bin.,Thillai Nagar,2025-08-29,Medium,Pending
382,Street Light,Multiple street lights along Kattur Cross Street are non-functional after the storm.,Kattur,2025-12-10,Medium,In Progress
383,Road Damage,Uneven road surface on Anna Nagar Market Street makes it difficult for vehicles to pass.,Anna Nagar,2025-11-09,High,Resolved
384,Road Damage,Deep crack across the road in Puthur is widening every day.,Puthur,2026-03-17,High,Resolved
385,Drainage,Drainage cleaning has not been done in Chinthamani 3rd Street for months.,Chinthamani,2025-06-08,High,In Progress
386,Road Damage,Uneven road surface on Thillai Nagar Lake Road makes it difficult for vehicles to pass.,Thillai Nagar,2026-03-21,High,In Progress
387,Electricity,Transformer near Anna Nagar Cross Street is making loud noise and sparking.,Anna Nagar,2025-12-06,Low,Pending
388,Garbage,Public dustbin at Puthur junction is broken and waste is scattered on the road.,Puthur,2025-09-13,Low,In Progress
389,Street Light,"Street light pole in Puthur is damaged and sparking, safety concern.",Puthur,2026-05-11,Medium,Pending
390,Electricity,Low voltage supply in Crawford is damaging household appliances.,Crawford,2026-06-10,Low,Resolved
391,Electricity,Street junction box in Edamalaipatti Pudur is open with live wires exposed.,Edamalaipatti Pudur,2025-05-26,High,In Progress
392,Road Damage,"Speed breaker on Bharathi Nagar Cross Street is broken and unmarked, risky at night.",Bharathi Nagar,2026-04-05,High,In Progress
393,Garbage,"Dead animal lying near the garbage dump in Gandhi Nagar Colony Road, needs urgent removal.",Gandhi Nagar,2026-05-28,Low,Resolved
394,Street Light,Broken street light glass in Palpannai 3rd Street is scattered on the footpath.,Palpannai,2025-09-11,High,Resolved
395,Garbage,Construction debris dumped illegally on Ariyamangalam Main Road is blocking the footpath.,Ariyamangalam,2025-03-25,Medium,Resolved
396,Electricity,Electric pole near Anna Nagar is leaning dangerously and needs urgent repair.,Anna Nagar,2026-05-18,Low,Pending
397,Street Light,Broken street light glass in Golden Rock 2nd Street is scattered on the footpath.,Golden Rock,2025-01-15,High,In Progress
398,Water Supply,"Irregular water supply timing in Puthur, water comes only for 10 minutes.",Puthur,2026-03-02,High,Pending
399,Water Supply,Water tanker has not arrived in Puthur despite booking three days ago.,Puthur,2026-01-28,Low,Resolved
400,Street Light,"No streetlight coverage on Palpannai Bypass Road, unsafe for women at night.",Palpannai,2025-05-28,Low,Resolved
401,Electricity,Power has not been restored in Puthur since yesterday's outage.,Puthur,2025-08-12,Medium,In Progress
402,Water Supply,Contaminated/muddy water is coming from the tap in Edamalaipatti Pudur Lake Road.,Edamalaipatti Pudur,2025-10-12,Low,Resolved
403,Street Light,Street light timer in Cantonment is faulty; lights stay on during the day.,Cantonment,2025-04-09,High,Pending
404,Garbage,Public dustbin at Vayalur Road junction is broken and waste is scattered on the road.,Vayalur Road,2025-06-12,High,In Progress
405,Road Damage,"Speed breaker on Woraiyur Market Street is broken and unmarked, risky at night.",Woraiyur,2025-08-05,Medium,In Progress
406,Garbage,Public dustbin at Chinthamani junction is broken and waste is scattered on the road.,Chinthamani,2025-11-28,Medium,Pending
407,Drainage,Drainage cleaning has not been done in Anna Nagar Main Road for months.,Anna Nagar,2025-07-29,Medium,Pending
408,Water Supply,"Water supply valve in Ponmalai is broken, entire street has no water.",Ponmalai,2025-11-09,High,Resolved
409,Street Light,Entire stretch of Crawford Market Street is dark at night due to non-functional lights.,Crawford,2026-04-16,High,Pending
410,Road Damage,Broken footpath tiles on Crawford Lake Road are a tripping hazard for pedestrians.,Crawford,2026-05-15,Medium,Resolved
411,Water Supply,Pipeline leakage near Thiruverumbur Colony Road is wasting a large amount of water daily.,Thiruverumbur,2025-10-10,High,Pending
412,Electricity,Exposed electrical wires near Cantonment Bypass Road are a serious safety hazard.,Cantonment,2025-05-10,High,In Progress
413,Electricity,Low voltage supply in Thillai Nagar is damaging household appliances.,Thillai Nagar,2025-09-20,Low,Resolved
414,Road Damage,"Speed breaker on Crawford Cross Street is broken and unmarked, risky at night.",Crawford,2025-07-24,High,Resolved
415,Street Light,Street light near K.K. Nagar park has been off since last month.,K.K. Nagar,2025-09-06,Medium,Pending
416,Street Light,Broken street light glass in Srirangam 2nd Street is scattered on the footpath.,Srirangam,2025-01-06,High,Pending
417,Electricity,Electric pole near Gandhi Nagar is leaning dangerously and needs urgent repair.,Gandhi Nagar,2026-03-16,Medium,Resolved
418,Road Damage,Broken footpath tiles on Vayalur Road Market Street are a tripping hazard for pedestrians.,Vayalur Road,2025-03-28,High,Resolved
419,Street Light,Street light timer in Crawford is faulty; lights stay on during the day.,Crawford,2026-04-05,Medium,In Progress
420,Road Damage,"Speed breaker on K.K. Nagar 2nd Street is broken and unmarked, risky at night.",K.K. Nagar,2025-03-12,High,Resolved
421,Garbage,Public dustbin at Ponmalai junction is broken and waste is scattered on the road.,Ponmalai,2025-12-01,Medium,Resolved
422,Drainage,"Drainage cover is missing on Golden Rock Main Road, risk of accidents.",Golden Rock,2025-12-27,High,Pending
423,Street Light,Street light near Crawford bus stop flickers constantly at night.,Crawford,2026-01-10,Low,In Progress
424,Drainage,Stagnant drainage water in Palpannai has been standing for over a week.,Palpannai,2025-06-29,High,In Progress
425,Garbage,Household waste is being dumped on the roadside in Golden Rock instead of the bin.,Golden Rock,2025-04-20,High,Resolved
426,Garbage,The garbage truck has skipped our street (Anna Nagar Main Road) for three days in a row.,Anna Nagar,2025-11-18,Low,Pending
427,Electricity,Frequent power cuts in Melapudur Market Street for the past week without prior notice.,Melapudur,2025-02-03,Low,Resolved
428,Garbage,Overflowing garbage bin near Crawford Bypass Road is attracting stray dogs and flies.,Crawford,2025-09-28,Low,Resolved
429,Garbage,Overflowing garbage bin near Palpannai Cross Street is attracting stray dogs and flies.,Palpannai,2026-03-09,Low,Pending
430,Electricity,Low voltage supply in Melapudur is damaging household appliances.,Melapudur,2025-12-30,Low,Pending
431,Water Supply,No water supply in K.K. Nagar Market Street for the past 2 days.,K.K. Nagar,2025-06-08,Low,In Progress
432,Electricity,Street junction box in K.K. Nagar is open with live wires exposed.,K.K. Nagar,2025-02-09,Medium,In Progress
433,Road Damage,Deep crack across the road in K.K. Nagar is widening every day.,K.K. Nagar,2026-03-07,Medium,Resolved
434,Garbage,Household waste is being dumped on the roadside in Ariyamangalam instead of the bin.,Ariyamangalam,2026-04-30,High,Pending
435,Road Damage,Broken footpath tiles on Puthur Lake Road are a tripping hazard for pedestrians.,Puthur,2025-08-22,Medium,Resolved
436,Electricity,Frequent power cuts in Anna Nagar Market Street for the past week without prior notice.,Anna Nagar,2026-03-25,High,In Progress
437,Garbage,Construction debris dumped illegally on Thillai Nagar Market Street is blocking the footpath.,Thillai Nagar,2026-01-26,High,In Progress
438,Electricity,"Electricity meter in Puthur Bypass Road is malfunctioning, incorrect readings.",Puthur,2026-02-21,Low,Resolved
439,Water Supply,"Water supply valve in Ponmalai is broken, entire street has no water.",Ponmalai,2025-02-07,Medium,Pending
